frame,elbow_angle,knee_angle,wrist_height,shoulder_angle
1401,40.112637291342516,161.54354145358712,0.5257915258407593,22.361445451778593
1402,42.4196055212901,161.67358576506373,0.523624062538147,24.840181378284814
1403,41.742522487200034,161.84012838356836,0.5225906372070312,25.188436201192854
1404,52.124181616718374,162.36877678349143,0.5182939171791077,30.572406361846483
1405,54.59216803566772,162.6904205985875,0.5165490508079529,32.00027902694877
1406,49.2150365822811,163.25147700060026,0.5151181817054749,27.631453535640873
1407,51.650767762672075,163.83912776690494,0.5124398469924927,29.04829475130462
1408,57.56735892895078,164.10020921412743,0.5109025835990906,32.043390299166255
1409,57.42652865612972,164.6857053813125,0.5089846849441528,31.78165038435663
1410,64.83103048725613,166.11533601448173,0.5062639117240906,35.548907921670356
1411,75.09878471582182,166.65835661185255,0.5051781535148621,46.10626913681441
1412,131.79223604693684,167.62905587482925,0.5007326602935791,100.56646908154478
1413,104.18433868631335,167.9635406885721,0.49969884753227234,78.43482569997373
1414,161.71182381041478,169.1640447144981,0.49446243047714233,132.49032692662772
1415,162.9072874619043,169.93912976447004,0.4889632761478424,139.29704378091932
1416,164.60610361632322,170.06318848698734,0.4876305162906647,141.54010224761464
1417,149.8431474118906,170.6045695895909,0.48549625277519226,133.58582167513617
1418,100.748519657052,171.05646990208095,0.47196298837661743,133.81796588309032
1419,108.88667428412225,171.196104018435,0.47632157802581787,130.61778456341284
1420,101.05737556405941,171.68620653315222,0.4715314209461212,135.65411661848867
1421,100.24423571296899,171.94236833013366,0.4708658456802368,137.19146428291614
1422,139.85747494537665,172.1407760244001,0.4684417247772217,135.06382037754182
1423,172.218894799846,172.62406073978414,0.46603602170944214,143.20349104313178
1424,179.68160851868015,172.95120965271227,0.4638250470161438,148.60699497657623
1425,176.80983348589064,173.42616720075867,0.4583587646484375,151.70445273670484
1426,173.01744469425145,173.73251454992058,0.4552592933177948,151.39065097954136
1427,171.7884750154849,173.9038739313722,0.45305174589157104,153.91126633465868
1428,165.79742877763871,174.18665884336858,0.4496466815471649,157.85868203267756
1429,166.39354392896848,174.27292686907452,0.4471246600151062,158.85582941511893
1430,169.69107368410315,174.22908752305605,0.442824125289917,150.87472408815015
1431,177.4673857989259,174.7158185054724,0.4413323402404785,151.305686564281
1432,176.92960129023004,174.82977048535184,0.4394073188304901,154.65480869518424
1433,154.9218039054321,175.52392351179142,0.43502408266067505,129.85567934869601
1434,166.77734223724872,175.87444839840404,0.4331476390361786,150.74598631854104
1435,178.4855854536196,175.55094481374266,0.4307316541671753,144.1014772159268
1436,172.73706647689434,175.40463082228993,0.43084055185317993,146.9708221803255
1437,156.32563312300869,174.67940937569213,0.4299071133136749,155.41555341804553
1438,128.52067271227128,175.17565458961317,0.4196663796901703,168.12793783669244
1439,115.07357619841096,175.84086365691633,0.40974968671798706,174.35324414068597
1440,115.62075023982592,176.25014460758965,0.4093177020549774,175.1783566046513
1441,119.36493429622166,176.00451476485284,0.3991221487522125,179.00167481836004
1442,116.06053688859288,175.68212440831175,0.391581267118454,179.51559859844704
1443,117.65422725532568,175.37104947684142,0.3908475637435913,176.93260600613445
1444,116.2592362335707,175.47261867961288,0.38677316904067993,177.59352070911436
1445,119.05183073845436,175.61938371927093,0.38595491647720337,178.06586432308325
1446,123.25679385496397,175.16605338784942,0.379752516746521,179.3564388769675
1447,123.74568328436652,174.52387121162747,0.3695976734161377,177.38300651195408
1448,121.45769906242188,174.17816815982087,0.3680330812931061,177.090340355365
1449,124.8596171789568,174.43438531347644,0.35879555344581604,174.20154026176158
1450,130.4337838695596,174.57993269235456,0.3493419885635376,173.0566057320325
