frame,elbow_angle,knee_angle,wrist_height,shoulder_angle
1,163.64082733471753,150.37311372623023,0.6463457345962524,4.122014832571468
2,163.95724228718447,161.1089260652869,0.6455596089363098,0.9239488467770687
3,165.86814006477238,160.18100864899083,0.6448326706886292,0.9637596204731487
4,165.60033879363704,156.33728164359385,0.6438355445861816,0.3326033842453986
5,167.17493291266135,162.0532329317838,0.6437792778015137,0.30504472781248765
6,168.59852339197084,164.44916480630198,0.6435271501541138,0.26881804290577577
7,169.0867620535014,166.8475960649871,0.6433312296867371,0.7890014812270535
8,169.26759421639298,177.14296115624208,0.6427691578865051,1.179776266475123
9,169.96284675776315,179.176716287069,0.6418383121490479,1.6750341357251124
10,170.09797157041848,178.45334532807857,0.6394438147544861,2.1685087741251867
11,170.63221833609973,177.27329564234995,0.6375738382339478,2.697075728815527
12,169.22584277411593,177.44840203933495,0.6371400952339172,2.697355511119014
13,167.70943237602995,165.56589937108834,0.6351825594902039,3.9444033615255867
14,166.61328085748326,161.43085460914176,0.6328975558280945,5.557249406823144
15,169.62347480581258,165.1207470910321,0.6322769522666931,8.004962223585208
16,167.07180711916294,163.13641438898352,0.6328028440475464,9.752050935420424
17,169.75080639547014,163.36178658671838,0.6321260929107666,10.926746331100796
18,174.30014217881802,162.37137117169496,0.6320619583129883,13.115955066564146
19,177.3587097970886,157.70286065572105,0.6324150562286377,14.950827567096805
20,179.86449223737495,157.63191560068168,0.6333974599838257,15.597513566999682
21,176.54914927375597,157.6452696274541,0.6332106590270996,17.335649494283437
22,175.69398390622558,158.55538653947295,0.6322607398033142,16.57884898850348
23,178.08974904096354,157.93973368392238,0.6304597854614258,14.606507303064674
24,178.85240696761298,163.14108548977433,0.6283906698226929,11.91351827294387
25,177.49345779076606,164.96663968091298,0.6277798414230347,11.035406026012017
26,176.07478395936351,166.46550236082356,0.6281552314758301,10.177146164918925
27,176.90653967936632,167.739807984005,0.6284149289131165,10.457596031271159
28,177.1972497715199,167.40690966487745,0.6286218762397766,11.421832108900851
29,177.48345766010306,167.29425275443114,0.6295980215072632,12.207497879788782
30,175.242183259109,166.76951563989488,0.6302061080932617,12.533040649465775
31,171.28437320511574,166.72872450849619,0.6310605406761169,13.085865876034424
32,169.48330427178294,167.59219192564552,0.6311140060424805,14.124501779462847
33,168.27507761053,168.01143063920887,0.6321141123771667,14.521176807289821
34,167.79825682407568,167.90721368562905,0.6331409811973572,15.178407216215756
35,167.98986706631757,167.92286931777545,0.6344643235206604,15.527838817459207
36,168.98094460592637,167.44273866650673,0.6361557841300964,16.19387971629803
37,169.6265739456932,166.43084427436085,0.637439489364624,16.56618545866609
38,170.69897148974678,167.279500936267,0.6376036405563354,16.395739134151718
39,172.86444532491632,168.22694761208817,0.6376590132713318,16.939430615553523
40,174.09316050469724,167.14794972943574,0.6376111507415771,17.484359298015242
41,174.36617139549483,167.15537580563898,0.6375687718391418,17.46661718437074
42,174.49878438438904,165.95183623603273,0.6373922228813171,17.33499736092664
43,175.51830558112823,165.33572461391483,0.6373340487480164,17.470368921979954
44,176.72532956972705,166.2539037604235,0.6373991966247559,17.65731338704397
45,178.1814305221403,167.03976826836436,0.6377357840538025,17.9162576212344
46,179.09475506391993,167.90381073745007,0.638008713722229,17.76224315295537
47,178.4066122551129,167.2626445963941,0.638935387134552,17.822385116622087
48,177.48973744442145,164.55911313523467,0.6395391225814819,17.923985569819422
49,175.72509324491588,163.85874994172895,0.6411195397377014,17.324298119276754
50,172.2648055409,163.05859246201237,0.6441868543624878,17.37808990103308
51,170.36331500944894,162.40241602492097,0.6463070511817932,18.86044925702512
52,170.1214115131818,162.8936824550068,0.6469824910163879,20.050211382718672
53,170.99781484407475,160.2239413115678,0.6468022465705872,21.56400004801636
54,169.05857991014008,160.50551090386983,0.6467471718788147,22.39747365626563
55,169.88172720552384,160.0278376585443,0.6477152705192566,23.336822080759095
56,168.20283565414667,160.6244379501788,0.6482803821563721,24.239981804201744
57,168.574462629596,161.7171875318114,0.6504027843475342,25.099452894163228
58,166.7081439167492,162.10135914227536,0.6533849239349365,26.354421518786637
59,163.83904536660407,163.3912926811684,0.6541405320167542,27.813140409492192
60,161.363173382236,164.19748022204138,0.6552450060844421,30.48394911250205
61,156.64864290943814,163.87036791713516,0.6560617685317993,32.11964359700071
62,154.6421296241684,163.6728573239116,0.6556244492530823,34.04865955121437
63,152.27904250645952,163.74268677018927,0.6550971865653992,35.71071842506646
64,150.1634204311325,163.41059028251357,0.6539365649223328,37.88705133389845
65,148.54843364846508,162.8120545216302,0.651045024394989,40.197478533162894
66,144.84489822014245,161.36074154211292,0.6454442739486694,42.85978678667547
67,145.02067775278545,159.3518825302803,0.6400498151779175,49.02755383002506
68,145.49202146668247,157.4099410614325,0.6309052109718323,54.256843787607934
69,146.11452405363164,155.40961049887727,0.622503399848938,58.66790598637685
70,147.5287148107528,154.27891264777406,0.6127504110336304,62.49096268314655
71,151.31241377840826,153.5533237444758,0.6048799157142639,66.7371576408961
72,155.02184350619072,151.7449299152748,0.5966535210609436,70.6732715160491
73,156.90832641768375,149.40658945505157,0.5868934392929077,73.91178079004459
74,155.2878127758871,146.71482229428284,0.5755764842033386,76.94041469281939
75,155.9247629839736,143.69591307750133,0.5672516226768494,79.17826067552107
76,156.29450214047844,141.8652058442416,0.5572118163108826,81.62648770461699
77,156.49368702592486,141.23887307713488,0.5448654890060425,83.43475597617807
78,156.1468531184565,140.0416404721045,0.5346882343292236,83.6916145169287
79,156.5250731386095,139.40549744075562,0.527919590473175,84.78394196443433
80,157.59102041232094,139.0467708398926,0.5198208093643188,86.43837839542039
81,156.68101606442843,139.07229630155072,0.5097934007644653,87.74916526550079
82,155.58005289830498,138.53617494040174,0.5062723159790039,87.8986023928707
83,155.1954742749028,138.18504851731993,0.5001001358032227,89.7975292487291
84,155.0259473574422,138.153039896772,0.49349814653396606,91.02683081639479
85,156.3628396510742,137.89325964911788,0.49137791991233826,92.71274454613626
86,159.14956904683675,137.78135428429206,0.48726722598075867,95.55426474992308
87,158.07447537748902,137.81326100834733,0.48818132281303406,95.75876183560541
88,159.54304114524749,137.69758412902232,0.4858693778514862,95.92682339443574
89,161.7441297300021,137.2925515929261,0.485527902841568,95.88024619628791
90,161.52411008093998,136.490203729332,0.4856095612049103,95.07451141818903
91,159.14582134326074,134.77316943324354,0.487609326839447,92.8942316948974
92,157.69600133086155,132.72487691325,0.49026182293891907,92.46382017539403
93,152.80131596041886,131.3716523257731,0.49152839183807373,87.59914695102496
94,153.05968428491875,129.00713850351113,0.49213916063308716,86.65972185346202
95,147.64573138741818,126.93933342821418,0.5016684532165527,80.91783903811702
96,141.06897334469755,123.76359354339093,0.507513165473938,75.9229834950433
97,144.90914901294295,120.48354508840902,0.5092234015464783,81.67046658051312
98,145.06162749462183,116.40412647795159,0.5125927329063416,84.84181619621107
99,150.68445041030026,113.5941422232352,0.5185649394989014,88.7555669686427
100,160.21812636430772,108.08181197530428,0.5237165689468384,97.81852111472466
101,165.566691093914,102.19481286957785,0.5272191166877747,104.79593056666424
102,156.77390202862787,95.66854490918882,0.5306277275085449,102.00998953720502
103,153.06699078275489,91.02284223427625,0.5339539647102356,102.7473184616263
104,141.0034681305932,87.57870160563704,0.5388572216033936,95.63387824479203
