frame,elbow_angle,knee_angle,wrist_height,shoulder_angle
1,175.21368283635977,53.81570927889642,0.8089372515678406,174.63605855330132
2,175.39096974243606,91.22429133907401,0.8085106015205383,174.6280599913228
3,176.98479640699915,154.53745943315536,0.8076788783073425,176.14011226347634
4,179.41923964374544,157.5367334095481,0.8069213628768921,177.97464104936086
5,178.24731289659883,161.42863629841588,0.8066745400428772,176.65645308556805
6,177.17636197712966,164.04420593465753,0.8065757155418396,175.71304935023258
7,178.31788436690397,166.38128480456467,0.80640709400177,176.66888741378503
8,178.10755848233282,166.47768823236262,0.8069781064987183,177.21984443520083
9,177.29164440624783,163.52055846479922,0.8080720901489258,177.40369238505525
10,177.44943327317995,166.83276735120884,0.8076872825622559,177.39581477598531
11,177.45295685601783,166.98453043474277,0.8076677918434143,177.05366537296945
12,176.77875196471686,165.44176633846655,0.8076654076576233,177.01070109142378
13,177.86176986226198,165.01713873123106,0.8077163100242615,177.43934142522525
14,177.8525587661214,165.73364405475235,0.807716429233551,177.4769648890318
15,178.05822592607777,166.15155806836066,0.8077110052108765,177.47970339801773
16,178.09923248051533,166.05341386246496,0.8075414299964905,177.34205040982636
17,179.36319691120016,167.6518556854886,0.8073464035987854,177.45692537579103
18,178.73134905214974,163.6524568092122,0.8074117302894592,177.48349153912136
19,177.75437836906428,158.15180835870765,0.8074151873588562,176.43140705916485
20,177.68226430397945,163.9505811794459,0.8075963258743286,176.72677624893166
21,177.43994824036125,167.58891364319155,0.8079589009284973,177.36181379763008
22,177.94776323576653,169.67387445801484,0.8079662919044495,177.50869684031798
23,178.52598161099198,170.84973316954714,0.8079652786254883,177.6544431529092
24,178.88826964348837,170.567725404021,0.8079673647880554,177.8868056548504
25,179.1324763862709,169.84528319266937,0.8080450296401978,178.16295472920427
26,178.83533325531425,168.33290680695106,0.8081458210945129,178.08259232663485
27,178.17473507326596,171.3750601327945,0.8083066344261169,178.0559695707059
28,178.0340180676184,171.68681474821824,0.8083676099777222,178.2492699726615
29,177.73166382672827,171.3168072306043,0.8084707260131836,178.18997234660733
30,176.7848545196937,171.41590525258275,0.8084993958473206,177.3515325854184
31,175.3944384293153,171.72440181919458,0.8083982467651367,175.32478942867513
32,174.75529844603687,167.1081109508129,0.8073676824569702,173.08392026648565
