relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,5219,149.6273882511538,172.54296407619026,33.49021803234872,0.4712192118167877,180.80458878230775
1,5220,149.2147894381068,172.7192010248688,33.96288842608003,0.4710274934768677,180.6257424199153
2,5221,149.08587218077776,172.88477455539052,34.57193564542853,0.47061866521835327,180.78504717066232
3,5222,149.0629853742266,172.97503090068767,35.17212596129457,0.47015494108200073,180.99153395031408
4,5223,149.0074887657508,173.0451541657139,35.5016083765032,0.4699186682701111,181.07704245043135
5,5224,148.56944481237446,173.0827460947834,35.836037837463294,0.4691962003707886,180.89333079592132
6,5225,148.72735711273816,173.08367427994332,36.001768908113824,0.46887707710266113,181.14790826188312
7,5226,148.4234690561654,173.21121330824502,36.43368022437554,0.4686645567417145,181.03531534189608
8,5227,147.27163142651105,172.98487755060023,37.175751992236115,0.4676764905452728,179.9535618135294
9,5228,146.6886487652897,172.69653843899496,37.58814665100036,0.4670722484588623,179.26351266662596
10,5229,145.9893434276402,172.6039380446832,38.08554101069567,0.4669656455516815,178.50358780681893
11,5230,145.37654041411128,172.7438081017968,38.55295598169666,0.4668131470680237,178.07640439550096
12,5231,145.96331479892754,173.03644470662923,38.70075745264215,0.46655184030532837,179.03420741395826
13,5232,147.1633326083468,173.23557323985207,38.78392671702825,0.4661620557308197,180.55028912895295
14,5233,148.03310290144228,173.1951386090307,38.70210897239372,0.46574363112449646,181.50515217312403
15,5234,148.75100573006065,173.02296357933147,39.004337141929085,0.4653998613357544,182.15401090866578
16,5235,148.2873015994859,172.32152355071747,40.708627047848395,0.4645656943321228,181.23911685056652
17,5236,148.20126512218064,171.9684449468838,41.347023021325285,0.4640069603919983,180.96762195146493
18,5237,147.19840762140643,170.46980261238141,42.63882687572503,0.46372103691101074,178.5518991604846
19,5238,146.43424772088852,170.3559304490106,43.427486588170964,0.4627525806427002,177.9644039770891
20,5239,146.45992611811005,169.89793670728375,43.20611120724295,0.46218743920326233,177.7016310644151
21,5240,146.02299403258945,170.56923519208027,43.45403244735134,0.46143022179603577,178.163162685859
22,5241,145.17821106916296,171.53775837712286,44.30852818460048,0.4608670175075531,178.4558641940199
23,5242,144.87528774421648,170.53114031874304,44.46218442582325,0.4607384204864502,177.1849019170245
24,5243,144.80836218471558,169.433466908403,44.435070934561764,0.4599234163761139,176.2648041802844
25,5244,145.52149693428737,168.01786642842762,43.21923928526848,0.459597110748291,175.6602301382277
26,5245,145.17418258035008,165.95013135637336,42.62659022315216,0.4591177999973297,173.3889739375245
27,5246,145.302964384745,165.22368269399286,42.066562057780196,0.4590620994567871,172.8080172417017
28,5247,145.33500703656412,165.0291736885626,41.88572701492897,0.4589751064777374,172.67164878180552
29,5248,145.3127665684471,165.12265029118473,42.02441940514179,0.4587395191192627,172.813561123853
30,5249,144.72385452024156,165.08374662638806,42.32680848342771,0.4586849510669708,172.20211582653837
31,5250,144.38047752930012,164.9711184207663,42.51514695688563,0.45823386311531067,171.88143701547324
32,5251,143.45792419527228,166.30600476627757,43.95612362796709,0.45706045627593994,172.64579207876784
33,5252,139.3158553613387,167.4498158814422,45.238394073011435,0.45641595125198364,169.84088586718576
34,5253,113.69341325060803,169.40694336932356,45.30110530729734,0.4884525239467621,136.56459943590295
35,5254,40.91990217776608,170.66891908016942,142.18417994394378,0.52855384349823,53.02266820846651
