relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,4393,156.70612880982958,171.61242602305543,24.743888440083193,0.4597528576850891,190.39269752735828
1,4394,156.05687823382178,171.26447571268574,24.899311588359883,0.4599887430667877,189.32473102647123
2,4395,155.36583164829696,171.02097277501585,25.375433703840194,0.45871731638908386,188.77160950658765
3,4396,154.80070301350045,170.97341495768123,25.623017074894054,0.4583146870136261,188.27971186709385
4,4397,154.31058067332583,170.38312434932894,26.041561324850683,0.45671194791793823,187.68012064727327
5,4398,154.03081929980587,170.12155277590392,26.70943822003386,0.45450544357299805,187.80073900381035
6,4399,153.90142838479403,170.40853687569322,27.0187144764654,0.45453983545303345,187.94801462457724
7,4400,153.33068165144653,170.53579568042477,27.660591088152145,0.45343562960624695,187.8357884499972
8,4401,153.16126066014462,170.1291916315775,28.374225140449127,0.4510747194290161,187.96803646301726
9,4402,153.66319429184287,169.52367129482178,28.089589618736543,0.4488970935344696,188.5177375263238
10,4403,152.81219584290358,168.9653517025097,29.096335793432768,0.4487236440181732,187.16045433996135
11,4404,152.72467736004577,168.51462838529457,29.095929896934873,0.44811537861824036,186.80469215986824
12,4405,153.56383903204107,168.34036307546916,28.791745387375983,0.44752469658851624,187.64679313095536
13,4406,153.53844611731034,168.06232095428695,29.134690969934248,0.44569826126098633,187.89128869330136
14,4407,154.05879841308683,167.970243736536,28.934956389532683,0.4455585479736328,188.36147775753295
15,4408,153.38219480430203,167.55060263278676,29.793223766316842,0.4444412589073181,187.60041976489333
16,4409,152.46333048994876,166.85854781956127,30.260618215909005,0.4439570903778076,186.1347511961677
17,4410,152.5826426781746,167.92290161131314,30.34401155818806,0.4433525800704956,187.49977026833903
18,4411,153.6652465753856,168.14964419336886,30.704098729836318,0.4427199363708496,188.9989098574996
19,4412,153.4932894382528,168.37145137792044,31.22745271519093,0.44203054904937744,189.25557610136002
20,4413,152.67362801123744,168.47876549091052,31.70410808425597,0.44083836674690247,188.90088347807722
21,4414,151.481915280511,166.77165445137203,34.0898675068427,0.4409767985343933,185.96053017156504
22,4415,151.9409292068827,167.33989038931256,33.519870491281395,0.4405738413333893,187.1086671961785
23,4416,151.8074021677069,167.7308438573825,33.95544112073087,0.4408418536186218,187.28568993950284
24,4417,151.13011535814323,168.3087019898455,34.08504875192315,0.441020131111145,187.13277801464523
25,4418,152.27441124495508,168.12564004867576,33.56334179981386,0.441147118806839,188.05591565157914
26,4419,151.56050491553762,168.18826909435543,33.843849661226706,0.44093161821365356,187.46928854579699
27,4420,150.20559079947364,166.5467135670539,36.19209670784596,0.4410107135772705,184.4490902933464
28,4421,149.49248784388058,165.11867068378626,37.349811394771905,0.44102856516838074,182.3025889771526
29,4422,148.51640332403812,165.07028289598384,38.52496761266874,0.442372590303421,180.87490912899568
30,4423,147.50576597305533,165.18372068038178,39.80046104452556,0.44271281361579895,179.87564256869746
31,4424,118.9048458773354,160.09782662183142,53.463305900594655,0.44536519050598145,145.39311534737237
32,4425,147.75729484667383,163.25754677780637,41.20330150369642,0.4452066719532013,177.4528400385198
33,4426,153.78844594789823,157.82304183397582,41.05107935439502,0.4450593590736389,178.0936800597824
34,4427,148.72204539892493,156.9535273865785,43.04284489659463,0.4455905854701996,171.99839714444352
35,4428,150.47815956757194,160.82715298085878,42.46851283497831,0.4455004334449768,177.65518251493768
