relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,10158,130.54080361100176,175.4889749136567,160.1863335188684,0.40415772795677185,184.7824601376269
1,10159,86.00275804233388,175.7819512262827,165.78817870622774,0.40390336513519287,140.6136997280587
2,10160,132.10778322285012,175.8215736716457,158.53734388286483,0.40637367963790894,186.01725300312313
3,10161,104.13596102438669,175.3109013077357,95.27434262778294,0.4150297939777374,154.93792413880112
4,10162,106.05567077501735,175.24541984738278,97.13127736750701,0.4129296541213989,157.42219438598045
5,10163,161.04394377570154,175.69604007182892,167.20074981132888,0.3920499086380005,219.12501125613028
6,10164,150.5063223272652,176.18753519299423,168.00085382113238,0.37716352939605713,213.5447987014423
7,10165,145.36013315516038,176.43652008703626,168.10823305814225,0.37172287702560425,210.27979013451534
8,10166,165.2495183145838,176.62398901241534,165.4017884515263,0.3800050914287567,227.87197989837216
9,10167,152.65189949427335,176.34395862566052,164.03717591108563,0.37468308210372925,216.5909334888151
10,10168,154.93378264740136,176.12066166457637,163.21793834961517,0.3757736086845398,218.32236170661577
11,10169,164.7488870857792,175.67949234958598,165.17843235831447,0.37052759528160095,229.2701008508849
12,10170,168.0396227533495,175.44048723200936,165.398439841774,0.3723406195640564,231.77792411614195
13,10171,164.88757525455264,174.62876965110502,163.98426398346376,0.37575700879096985,226.7892422683667
14,10172,166.51831822361117,173.99239081080532,164.86461625923775,0.3598765432834625,232.54774604937774
15,10173,160.8108146678973,173.5790017740802,165.3569891374395,0.35211917757987976,228.75406316801354
16,10174,168.65670988140874,173.0495401657705,166.24402940161397,0.35434895753860474,235.40156278559783
17,10175,169.0960366755186,172.4318804010491,166.14107526038387,0.35291051864624023,235.65476148269568
18,10176,163.86259396798994,172.2508769247625,166.61879720645254,0.3400084972381592,234.1109217213047
19,10177,166.5672403356126,171.75122492988444,166.56180300795606,0.34315168857574463,235.37295869277364
20,10178,167.94493863987765,171.51238320600677,166.6804625441592,0.3452044427394867,235.89598902403839
21,10179,169.28374995800544,171.07224377223469,165.94051095880425,0.3396320939064026,238.46636555831935
22,10180,171.42103063235592,170.59633767620116,166.02049834281752,0.33741331100463867,240.79337500716548
23,10181,171.42579101710405,170.5203012415033,165.78839048417436,0.33780723810195923,240.60392082801957
24,10182,172.6114627320159,170.6666418467498,164.6456679125575,0.3401387631893158,241.23647562197095
25,10183,178.6251386600718,170.58475292788233,162.75578709247208,0.35408955812454224,242.98302415059146
26,10184,176.47263802743387,170.61204352452134,161.2815848523157,0.3576042056083679,239.80341986944484
27,10185,176.6627051771124,171.39060394162274,159.29254743132748,0.35624030232429504,241.1812184214466
28,10186,175.3229455024992,171.74127648284548,158.2576524818651,0.3553979694843292,240.44483114004595
29,10187,172.8180516071512,171.8857333144023,156.34316879812795,0.35224461555480957,239.03040025511064
30,10188,171.55769931404393,171.34186229986454,155.60133200934595,0.3523125648498535,237.20579215895242
31,10189,170.35446083986673,170.89843135264428,155.08641608876917,0.3522658944129944,235.5731238686127
32,10190,174.4191365886141,170.4375319964708,153.9130425558025,0.3638738989830017,235.69449889018438
33,10191,171.79513527671892,170.22928258041694,152.95880316652318,0.3669812083244324,231.93005535980615
34,10192,171.2707087288998,170.14823882819914,153.34759918440156,0.3678865134716034,231.0529935156179
35,10193,173.02000783245194,170.22068600673794,152.5030335724051,0.367364764213562,233.03126457512127
