relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,10607,126.92308033808342,158.42546899730516,46.992732925063784,0.4470081627368927,151.2461005143208
1,10608,132.9930403770501,157.30553053933465,46.29065377011714,0.4466739594936371,156.2963830682936
2,10609,137.5369523227804,159.0872266377018,45.7092266647901,0.44638293981552124,162.70929701582583
3,10610,139.49086567448325,157.05360078590496,45.83773124887336,0.4454350471496582,162.91395231549075
4,10611,142.47907824233985,158.15597426294107,45.18807687700463,0.4449911415576935,167.13771003797285
5,10612,122.2212768008862,157.35014341756084,175.30442234854758,0.4836162030696869,134.48655929754096
6,10613,162.68747454310005,161.06825253211787,167.06786573943154,0.49452850222587585,175.39717640745516
7,10614,169.11614158761765,161.45842717316006,151.63968077409467,0.46528375148773193,190.98944331445813
8,10615,131.50699582762059,162.08060707207235,54.97061923524666,0.44946667551994324,158.74760024370994
9,10616,173.8329524265752,166.18248083490056,152.84958515262034,0.4438207745552063,206.8692008949139
10,10617,174.46481913908315,170.66321140006005,155.11106053665807,0.4391590654850006,213.380310893643
11,10618,88.56142366151353,169.39194970728542,51.92068547639292,0.4520222842693329,122.3466880879991
12,10619,122.85953156874933,167.54585442055026,46.82230329654485,0.4451585114002228,156.85783256923276
13,10620,167.3492190585751,169.54855156272373,146.8437427497584,0.463317334651947,197.90257022571473
14,10621,160.6853979535922,165.59789494457874,171.55651772399074,0.49486714601516724,177.82314909362077
15,10622,169.34690548006003,169.75856534126729,150.73720931462674,0.44494298100471497,205.62257651991285
16,10623,167.45687844027591,171.96729201922656,150.16362935552323,0.4455767273902893,205.75115224241569
17,10624,96.61406437707043,172.03881674862646,171.93100476404885,0.5094513297080994,115.81748221326711
18,10625,167.78135230692408,168.06058004637816,147.30666222110494,0.4596380889415741,197.95050567083
19,10626,25.079369081065547,168.5717465271584,50.75333693667452,0.48037487268447876,49.53865380288033
20,10627,24.614138190246468,162.89115616235136,47.43579988204077,0.4447646141052246,54.07591012103046
21,10628,132.97880346206168,162.92924194722315,143.2492017869583,0.476906955242157,152.8359588366377
22,10629,165.76750852198825,164.40360948298112,146.9112648839068,0.4430578947067261,197.25374959295152
23,10630,169.36253488875994,165.7062987019822,149.36419923967898,0.44197624921798706,202.47595882534603
24,10631,168.7572735179969,168.4971511493336,148.99760273008917,0.4421709179878235,204.60314927098347
25,10632,169.26840078047056,163.12662177297477,150.30418864952827,0.4430535137653351,199.47896842384478
26,10633,169.11241424653682,162.44955838451213,150.0239331775487,0.4434727132320404,198.52015866143682
27,10634,168.86104153793988,162.09405012967954,151.07338614234533,0.44323858618736267,197.9835158114106
28,10635,168.6790596247921,161.14684245811011,151.14039836296928,0.4422827959060669,197.14106331108212
29,10636,168.9553628347147,160.91910783233251,151.82123749325982,0.4421144723892212,197.24012895028085
30,10637,168.24596945473138,158.3722533634577,150.849491777829,0.4428043067455292,193.77693079453036
31,10638,168.7937959740658,159.31123238259025,151.09739099569842,0.44388628005981445,194.93914433871169
32,10639,169.1313368525997,158.68977587167498,151.39520324825713,0.44410452246665955,194.58975598427685
33,10640,171.12582124247407,157.6139192432633,152.35515870352884,0.4444166421890259,195.41474782902958
34,10641,171.45563010804796,159.08591614946025,152.25390622613577,0.4441787302494049,197.28792718268676
35,10642,172.13569622892416,157.3894770889837,153.0958084080645,0.4441317617893219,196.28564478111127
