relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,9900,141.66300650706705,166.9084631618693,43.34040802876179,0.4054918587207794,186.92391205270252
1,9901,141.11720482695532,165.13280905825312,43.71860458705166,0.4053615629673004,184.6415449950183
2,9902,140.9354782054435,164.04660133268294,44.353812109061245,0.4051007628440857,183.4518506849007
3,9903,140.8841367467155,164.1773768550211,44.416084529874034,0.40486323833465576,183.60254210133985
4,9904,140.9661558119492,164.12781611658838,44.52750847043289,0.40497085452079773,183.60271557229828
5,9905,140.66262178705955,164.29217804705843,44.910234325597926,0.4046538472175598,183.55864566885003
6,9906,140.37144891002015,164.38498963789354,45.336713285231035,0.40407079458236694,183.53520017320363
7,9907,140.34372457536512,164.5512851408283,45.58506017260633,0.4036512076854706,183.7996474105522
8,9908,140.30313442529584,164.59818034434468,45.65894740768026,0.4033726155757904,183.8895300969034
9,9909,140.11004206046758,164.29665546057356,45.78128851198889,0.40272971987724304,183.5877815578682
10,9910,140.400192969141,162.8087718994135,45.19356357433848,0.4020105004310608,182.60581473923628
11,9911,140.5774949636475,162.12287581517924,45.067995930716904,0.40164366364479065,182.20727168538951
12,9912,140.93056000714415,162.24345563828382,45.25747150536521,0.4006297290325165,182.98509693567303
13,9913,141.22700067923884,162.22349814858103,45.25614382564577,0.39921340346336365,183.68647778881075
14,9914,141.34703376222092,162.2465905973044,45.284057193250355,0.3986349403858185,184.00314224377973
15,9915,141.37919305784257,162.39372580287392,45.353138117834085,0.39776432514190674,184.44362131814444
16,9916,141.88665226315626,163.09799158153584,46.04418554702834,0.39701783657073975,185.87929287347015
17,9917,142.33158843964392,163.3531225078321,46.21103599091424,0.3963508605957031,186.77945276876505
18,9918,141.1782234716052,164.96695675598485,47.958007587618205,0.39581480622291565,187.40073836071537
19,9919,141.21313720955644,165.1416517713387,47.87590123649649,0.39570173621177673,187.64426811736212
20,9920,140.59850056930358,165.78034630838212,48.98000610252125,0.39499717950820923,187.87969302522293
21,9921,140.68617630604373,166.3745200810213,49.19570993778434,0.3947836458683014,188.62560262657462
22,9922,141.3779941327906,165.94964320449435,48.4832560717698,0.39416512846946716,189.0780987964448
23,9923,141.7866362954423,165.80425439027994,48.82470856059457,0.3936014771461487,189.51044754187762
24,9924,143.20394289833703,166.49979730888913,49.982551200310525,0.39368537068367004,191.59812900212512
25,9925,144.244040621126,166.73849388483794,48.786854080838474,0.39371734857559204,192.86732993328633
26,9926,132.89074268966073,178.53437578768117,84.46480666780319,0.4700332283973694,170.4151499581311
27,9927,165.93245321133162,177.21860633968453,87.550540378514,0.47155654430389404,201.68409625984793
28,9928,156.66722096679104,177.8703264012631,122.4259433885829,0.4632757902145386,195.55481030369253
29,9929,165.10415709666503,169.13116424965838,146.41554266494055,0.3937590420246124,216.1076087389397
30,9930,165.52643962530837,170.50432601243108,145.97383647340322,0.4044282138347626,214.7023014873107
31,9931,166.49053629859247,159.89744020404575,147.63936032593696,0.39180487394332886,208.8465143196396
32,9932,167.52541147525736,164.74921067750205,148.9498924488884,0.39074063301086426,215.05243224950016
33,9933,168.38836417471282,164.8816512953036,149.28844755378202,0.3916938006877899,215.76187526367949
34,9934,168.99891836909765,160.7489630237021,150.30810565826957,0.3907945454120636,212.50951776918066
35,9935,169.1730064768718,160.30270552336094,150.27487602618422,0.39066964387893677,212.27481883655173
