relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,7571,158.2434530540291,167.55618029332746,40.8427141710995,0.4026602506637573,205.00155814822938
1,7572,158.53941188949204,167.2988850585271,41.07598343192451,0.40124621987342834,205.46443098599065
2,7573,158.7215191471933,167.26857449131313,41.201935628915784,0.40122681856155396,205.62204807004025
3,7574,158.55214663856628,167.2324256670286,41.760982492300414,0.40038543939590454,205.66894048682354
4,7575,158.18248820048385,167.12234188005624,42.11248894609561,0.3999214172363281,205.32840490964168
5,7576,157.86706057622206,166.5315349215677,42.53334729168314,0.39887505769729614,204.7360781886009
6,7577,157.82834389010313,166.55743041867865,43.01105370321195,0.3972855508327484,205.20010905895725
7,7578,157.82844375516615,166.61025833810095,43.28841756439964,0.39665403962135315,205.44249020686118
8,7579,157.60688468566028,166.6045258859584,43.81821344790746,0.39593178033828735,205.43187647013247
9,7580,157.5889890816283,166.69768857683627,44.11800702165216,0.39555177092552185,205.621146380808
10,7581,157.59251490870946,166.6490567163637,44.31713065504476,0.39497247338294983,205.74982961018821
11,7582,158.05382583605424,166.76987462071347,44.537315628451914,0.39381179213523865,206.68016281619612
12,7583,158.1192089548266,166.84336629738618,44.77401485467665,0.39318716526031494,207.0064256741183
13,7584,158.70713475559648,166.87697188291273,45.04880657632561,0.39287978410720825,207.7201714063467
14,7585,159.37503257378904,167.42140923704045,45.986640770432835,0.392242968082428,209.1235513861011
15,7586,160.133892156529,168.4779597428676,47.27706283914621,0.39208459854125977,210.98647233701865
16,7587,31.003956094818466,179.51186624166291,145.25249412180432,0.5096893906593323,57.60900513868171
17,7588,152.26530195438977,166.61477065953088,93.2345784489676,0.43133050203323364,189.48092200395058
18,7589,116.71123968267253,163.93116582802193,65.21402154029612,0.4004595875740051,160.50452923849292
19,7590,102.21742770457435,163.9910108221949,58.24601450636724,0.3926418423652649,148.4158858171898
20,7591,114.6481900488859,164.14543901900657,55.400621241993726,0.3917504549026489,161.2684925970978
21,7592,145.87678665408524,164.06365287707735,54.14040069946527,0.3890981078147888,193.21100718672596
22,7593,172.53751211947215,164.49595085090607,53.0923398386937,0.3884274363517761,220.50523206484536
23,7594,178.25949753168535,165.2672713163038,52.46666469119987,0.3878948986530304,227.15829925208004
24,7595,178.58320080492754,165.81734287784866,51.94251705210308,0.38636651635169983,228.49058877726623
25,7596,177.85982360357232,166.19137389967088,51.583789996885216,0.38519516587257385,228.49264774147105
26,7597,175.52250500237415,166.13752798818913,51.38914370094769,0.3851907551288605,226.10280645190517
27,7598,172.26199690100745,166.63130574693656,51.77069708718276,0.38433849811553955,223.59175321328212
28,7599,168.16269124684203,166.83518199111325,52.50220021071222,0.3841824531555176,219.7431372913
29,7600,166.30154351540767,166.90916657897375,52.52390857098013,0.3837866485118866,218.07471554081542
30,7601,165.9135203355431,167.26805079102428,52.58408775317311,0.3831901550292969,218.22452461777834
31,7602,162.03078094485411,167.27482469584098,52.68501761096646,0.38212066888809204,214.66940497426748
32,7603,160.9241060948881,168.77830630799693,53.943002034511515,0.38179078698158264,215.1651763084102
33,7604,162.23583064758054,170.44032661019898,54.47137800774039,0.38051602244377136,218.52135052464814
34,7605,162.0640005711342,170.3799522715695,54.305428476378715,0.3797902762889862,218.5068699560078
35,7606,161.97723726778085,169.90128221644753,54.210802069085375,0.37831273674964905,218.38469845933366
