relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,9341,119.23080083129051,179.26258706619174,139.55965257372188,0.37772271037101746,185.176574786177
1,9342,115.19434293610342,179.68161926194074,152.25499288443515,0.3786035180091858,181.2949067952884
2,9343,127.89462827317007,179.64955002371053,156.65065512775493,0.3794091045856476,193.72144692118633
3,9344,141.10432269872678,179.64646544498558,158.3635934846391,0.37090298533439636,209.47989254339348
4,9345,146.08044423511504,179.7533563257439,159.6683254624978,0.36724814772605896,215.65935624304126
5,9346,150.81746594921438,179.4033858790026,154.28497720441746,0.3657881021499634,220.48442118322794
6,9347,153.68617496686335,179.15172520751472,155.955402940548,0.3627999722957611,223.99790848564976
7,9348,157.70715367411876,179.13539236723366,158.27672791755106,0.36109933257102966,228.51274627004352
8,9349,154.35059211309263,178.49302764408256,145.77087536560086,0.36407631635665894,223.6207248501775
9,9350,150.65089224942056,178.2131444050364,149.27085713998073,0.3617437481880188,220.34091219805134
10,9351,164.0270568539283,177.34160848122286,157.72583991599544,0.36585861444473267,231.61108100173135
11,9352,167.09047033028352,176.77552604747223,160.16106132683046,0.3547506034374237,237.44081534652867
12,9353,167.92336994321874,176.32179135895254,160.27308951228397,0.35572806000709534,237.52674330004265
13,9354,173.64012433750403,176.00659109683193,160.10988032213334,0.35802802443504333,242.238308103823
14,9355,170.38656104389014,175.34745225385228,158.95022197809763,0.35913124680519104,237.9946392561851
15,9356,168.1538780706708,174.7335202382905,158.69522309595519,0.35968178510665894,234.98286277696366
16,9357,179.4149426143015,174.2463504952271,160.9962599228685,0.35895028710365295,245.97620697843274
17,9358,177.71250813401753,173.68174188757965,162.67264422048063,0.35806483030319214,243.9748009306395
18,9359,179.5470299530766,173.06282621664062,164.38662122472488,0.3477884829044342,248.27331129838694
19,9360,172.1427365679995,172.8728154153973,163.4346647052791,0.335236519575119,244.44459611086108
20,9361,167.2671567707832,173.0118690479809,161.7439784105539,0.3212912976741791,243.8916365165104
21,9362,167.34494368471724,172.80244677706835,161.912619722669,0.319892942905426,244.17950759015775
22,9363,170.53554908279702,172.63097585500293,162.27785269965847,0.32474371790885925,245.7434095651422
23,9364,171.11964978805648,172.49150244897004,162.3615166017027,0.32487791776657104,246.14777690705523
24,9365,170.7662807799578,172.3735794298997,161.28153321997507,0.32373061776161194,246.0206748813739
25,9366,169.8936016394822,172.32158284779342,160.95896707208638,0.3215004801750183,245.76504043477013
26,9367,167.66244570097493,172.06989402645073,160.20066577299028,0.31626683473587036,244.85228930666455
27,9368,169.58841461097285,172.0236581579123,160.25324747830413,0.3204799294471741,245.4680939347329
28,9369,170.37253079217052,172.11007330842943,160.21310050325184,0.3222215175628662,245.81614883174007
29,9370,169.4625350375962,172.298594028261,157.52445405725464,0.33560559153556824,241.0794516051867
30,9371,173.48485799592066,172.1147366069436,156.81179145574103,0.3380625545978546,244.1808282235079
31,9372,174.53962348494838,171.97162157611947,156.6323945714836,0.3393975496292114,244.6919801723044
32,9373,171.38172373653006,171.9667994713086,155.81166152834444,0.3381580710411072,241.90110189550649
33,9374,169.95816611127074,171.93798279814436,155.49892591911816,0.33744046092033386,240.66401063331494
34,9375,172.85489957967698,171.9365726791613,154.9620523700148,0.34873050451278687,240.1723209050022
35,9376,174.38200483064696,171.85677530837313,154.7376852233808,0.35338354110717773,240.22371780686677
