relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,2238,34.699136667169,179.3896160270034,155.8830722709768,0.42124027013778687,87.71667165283634
1,2239,36.14079269968602,179.2842791075551,158.02221772873324,0.42086711525917053,89.16493722948996
2,2240,74.24075100773246,177.89597656245772,149.17102559393808,0.4238620400428772,124.97811555732702
3,2241,34.62234794797916,177.40983736638617,179.11943198167782,0.4252578616142273,84.45482683009715
4,2242,39.65284971384697,177.2127211940591,177.13536773521295,0.4221382439136505,90.22409773381091
5,2243,45.1358626817971,176.97902494369856,179.7202100106074,0.42129653692245483,95.72592654875922
6,2244,54.67513129376504,176.85029544326719,177.5166386690358,0.4176478981971741,106.23105727788001
7,2245,144.29338920227735,178.22946722300264,171.57855402593637,0.36741378903388977,212.29871971511307
8,2246,142.72457201174245,178.69556033777582,169.71726043824918,0.36217889189720154,212.7664647803578
9,2247,146.58784279429474,178.92583384606039,168.24548020173614,0.35897794365882874,217.8202935427065
10,2248,145.584557165255,179.0419404955883,167.91574938654506,0.35768750309944153,217.32024673101085
11,2249,146.45863896295344,179.16966936046532,167.7003901332567,0.3565990924835205,218.6485805783626
12,2250,161.16356044337013,179.0732388343975,160.13508100711923,0.3355497717857361,239.57186774204683
13,2251,159.52650519088814,178.4390950826618,157.36416498332545,0.3340829312801361,237.74072088950913
14,2252,158.67907011156393,178.25081021572566,155.65170369139287,0.3342025876045227,236.66910404593278
15,2253,158.45984286644446,178.26117853409787,154.9340521302252,0.33427169919013977,236.4395116435004
16,2254,158.31755377375026,178.27521175985925,154.64129024882988,0.3342007100582123,236.33255251614582
17,2255,160.83021734284648,177.31287575543374,155.6453584026581,0.33330678939819336,238.15105627882224
18,2256,161.9290773923075,176.93597697275928,156.23319350980452,0.33294567465782166,238.9813519677203
19,2257,162.76639174677794,176.7081939728504,156.6472413752958,0.3331822156906128,239.5199210124445
20,2258,163.34509859218883,176.61933797475996,156.97946255405904,0.33355027437210083,239.89935425531854
21,2259,163.62646409237442,176.57498307428915,157.21418063514804,0.3336978256702423,240.09209946559088
22,2260,172.8461297609051,176.96108894756026,158.042139856276,0.3207370638847351,253.58609954304484
23,2261,174.35426199997767,177.16975284180668,158.38681529454766,0.31759268045425415,256.24621070550813
24,2262,174.49057303415336,177.27202575948135,158.30327769788568,0.3168789744377136,256.6989064623206
25,2263,174.6508967020633,177.42439511760892,158.39327351106232,0.3171073794364929,256.9430779887243
26,2264,174.6464652506386,177.41018780747729,158.41620253576878,0.31637948751449585,257.14280680376714
27,2265,171.60843244128566,177.31768736286327,157.13792725592074,0.31848669052124023,253.38011264777685
28,2266,169.99091242448554,177.19840019577939,156.4531640857311,0.31944167613983154,251.35680977831544
29,2267,169.13863601207098,177.10250380760982,156.0823736625984,0.3199998140335083,250.24119560962833
30,2268,168.62862864282533,177.03385394291723,155.85863793361088,0.32027700543403625,249.5793809555317
31,2269,168.3558637335975,176.99576122992687,155.75210738121172,0.3204728364944458,249.20977401519065
32,2270,168.63409525304337,177.5033103402729,156.05103889387317,0.328833669424057,247.48730476609916
33,2271,168.85536814190004,177.5227253807376,156.32584729828054,0.3326217532157898,246.5915675579007
34,2272,169.103003202023,177.47209303287943,156.59544057528916,0.3342444598674774,246.30175827465916
35,2273,169.1999075420375,177.30807657487009,156.81264418273267,0.33368924260139465,246.40121133648915
