relative_frame,frame,elbow_angle,knee_angle,shoulder_angle,wrist_height,score
0,3827,177.8445694870807,178.44875523041398,15.449144135006625,0.5998774766921997,176.33008170983476
1,3828,179.05690289542494,178.1732664484523,15.035182125315076,0.5983441472053528,177.72692518227143
2,3829,179.69931733069203,177.95344339169205,14.75676132711173,0.5966630578041077,178.65384338115177
3,3830,177.8405466024117,177.9589943070105,14.608513125811031,0.5946040153503418,177.41833630431967
4,3831,176.30241794363113,178.12067988529125,14.25925400537387,0.5908971428871155,177.15395496278774
5,3832,172.7777997485142,177.86442888391855,13.900356910838939,0.5895237922668457,173.78509095237905
6,3833,171.04449898708594,177.7910942350225,13.593190765199092,0.5829825401306152,173.9408311829239
7,3834,168.8745069058459,177.77209277666623,12.974347199492591,0.580069363117218,172.62579074734674
8,3835,167.3070586682875,177.6857959817827,12.426719438104824,0.5780978798866272,171.563490684082
9,3836,166.32825137438363,177.6089747211602,12.183086994858645,0.5762108564376831,171.07396916423886
10,3837,166.68174758186387,177.59759179152312,12.157869804463271,0.575928270816803,171.50085812834607
11,3838,166.72448215972403,177.5818676145824,11.85314169451025,0.5746039152145386,171.92517520994488
12,3839,168.15633183127042,177.5320940211265,11.404674358328451,0.5737692713737488,173.55764444027227
13,3840,170.63950881416505,177.4796843107081,11.147212210310132,0.572232186794281,176.44953708658886
14,3841,170.9658280725202,177.42515162681863,10.96814350772916,0.5714594721794128,176.95313804551495
15,3842,172.7233810456397,177.37209956035124,10.636725914861861,0.5712922215461731,178.707814142139
16,3843,172.9716753559336,177.3616428030736,10.633212441776237,0.5674142241477966,180.10905091466822
17,3844,173.88726114093373,177.43432153649928,10.65935809307951,0.5606303811073303,183.13246834523392
18,3845,173.6562692552945,177.38228490465954,10.81084116078314,0.5516074895858765,185.55630728419112
19,3846,173.83766116761393,177.43682110313452,10.780875821179833,0.5441450476646423,188.03096797135572
20,3847,173.86432619923684,177.44742423077227,10.795754614199186,0.5413512587547302,188.90637280359005
21,3848,174.58167977797444,177.455297346959,11.12879765664383,0.5387846827507019,190.40157229972283
22,3849,174.77167406311654,177.61594070576376,11.347156554636227,0.5301949977874756,193.32911543263765
23,3850,174.3281080040836,177.7286714885272,11.78856992295998,0.5286216735839844,193.47027741741545
24,3851,172.83624596265983,177.7616255899734,12.171961844107546,0.527022659778595,192.49107361905476
25,3852,173.37803826169485,177.9643839244246,12.447663584145339,0.5240614414215088,194.1239897596668
26,3853,173.5894804387399,178.05719063463414,12.5231920989919,0.5194628238677979,195.80782391303467
27,3854,173.47113526694042,178.12454898965441,12.5409994389195,0.5213422179222107,195.19301887993163
28,3855,172.18742806548786,178.12183607390332,12.625653057132027,0.5144156813621521,195.98455973074556
29,3856,170.57082296678624,178.11966433870853,12.806493943696482,0.518825888633728,193.0427207153764
30,3857,168.88082893093386,178.11832272339998,12.947213924617976,0.5212134122848511,190.63512796887852
31,3858,165.92291985775873,178.11676751254475,12.958423445639406,0.5223236083984375,187.3426048507722
32,3859,163.4022003055741,178.074350785104,12.947264213324933,0.5275470018386841,183.21245053907285
33,3860,161.3510777554797,178.077406612016,13.184964070602415,0.5402804017066956,177.34436385548702
34,3861,160.48009296623948,178.03761347968393,13.503601135811811,0.5538838505744934,172.3525512735754
35,3862,159.9399373173799,177.85165122829815,13.733702639600162,0.5686838626861572,167.18642973983088
